script_id	speaker_ko	script_ko	speaker_en	script_en	speaker_ja	script_ja
1009	빛	마지막 빛의 조각이 여기 있나 봐.\n얼른 찾아보자!	Light	The last fragment of light must be here.\nLet's find it quickly!	光	最後の光のかけらはここにあるみたい。\n早く探してみよう！
1010	빛	마지막 빛의 조각이야!	Light	It's the last fragment of light!	光	最後の光のかけらだ！
1011	빛	느껴져... 나의힘이.\n고마워. 네 덕에 힘을 되찾을 수 있었어.\n이게 너에게 도움이 되었으면 좋겠네	Light	I can feel it... my power.\nThank you. Thanks to you, I was able to regain my strength.\nI hope this will be helpful to you.	光	感じられるよ... 私の力が。\nありがとう。おかげで力を取り戻すことができた。\nこれで君の役に立てばいいね。
1012	빛	앞으로 잘 부탁해!	Light	Please take care of me from now on!	光	これからよろしく！
1013	빛	괜찮아? 아래로 떨어진 것 같아.\n좀 어둡네… 다치지 않도록 조심하는 게 좋겠어.	Light	Are you okay? It seems like you fell down.\nIt's a bit dark... You should be careful not to get hurt.	光	大丈夫？下に落ちたみたい。\nちょっと暗いね... 怪我しないように気をつけよう。
1014	빛	잠깐만. 이 랜턴에서 나랑 비슷한 기운이 느껴져.\n어쩌면 꺼진 빛을 다시 되살릴 수도 있지 않을까?	Light	Wait a moment. I can feel an aura similar to mine from this lantern.\nPerhaps I could revive the extinguished light?	光	待って。このランタンから私と似たような感じがする。\nもしかしたら消えた光を再び蘇らせるかも？
1015	빛	내가 도와줄게. 한 번 시도해 보자!	Light	I'll help you. Let's give it a try!	光	手伝ってあげる。やってみよう！
1016	빛	왜 길이 끊겼지? 막다른 곳이야.\n이상하다… 예전엔 여기로 지나갈 수 있었는데….	Light	Why is the path cut off? It's a dead end.\nThat's strange... I used to be able to pass through here before...	光	なんで道が途切れたんだろう？ 行き止まりだ。\nおかしいな... 以前は通れたのに...
1017	빛	깜짝 놀랐네! 저 난폭한 버섯은 또 뭐야?\n갓에 박혀 있는 저건… 왠지 나랑 비슷한 것 같기도 하고….\n왜, 랜턴 기억나? 그것도 그랬잖아.	Light	What a surprise! What's that violent mushroom?\nThat thing stuck in its cap... somehow seems similar to me...\nRemember that lantern? That was the same way.	光	びっくりした！ あの乱暴なキノコは何？\n笠に刻まっているあれは... なんか私と似ているような気もするし...\nねぇ、ランタン覚えてる？ それもそうだったじゃん。
1018	빛	뭐지…? 저 안에서 강한 어둠의 기운이 느껴져.\n잘은 모르겠지만 충분한 각오가 필요할 것 같아.	Light	What is it...? I can feel a strong aura of darkness from inside there.\nI'm not sure, but it seems like you'll need to be fully prepared.	光	何だろう...? あの中から強い闇の気配を感じる。\nよく分からないけど、覚悟していかなきゃ。
1019	빛	하지만 너라면 그 어떤 어둠도 헤쳐나갈 수 있을 거야.\n나도 곁에 있잖아! 자, 용기 내서 들어가보자.	Light	But if it's you, you'll be able to overcome any darkness.\nI'm right here beside you! Come on, let's gather our courage and go in.	光	でも君ならどんな闇も切り抜けるよ。\n私もそばにいるじゃん！ さあ、勇気を出して入ってみよう。
1020	빛	이... 이게 무슨 일이지?	Light	... what's happening?	光	な、なんだ?
1021	빛	땅이 무너지고 있어. 조심해	Light	The ground is collapsing. Be careful!	光	地面が崩れている。気をつけて！
1022	빛	방금 얻은 능력으로 낙하물을 피해서 지나가야 할 것 같아.\n무너지기 전에 서둘러!	Light	It looks like you'll need to use the ability you just gained to avoid the falling debris and get through.\nHurry before it collapses!	光	今得た能力で落下物を避けて通らなければならないようだ。\n崩れる前に急いで！
1023	빛	여기는 무너져서 진입할 수 없을 것 같아.	Light	This place seems to have collapsed and can't be entered.	光	ここは崩れて入れないようだ。
1024	빛	아직 열쇠가 완전하지 않은 것 같아. 우리 몇 개 찾았더라?	Light	It seems like the key isn't complete yet. How many did we find?	光	まだ鍵が完全ではないようだ。いくつ見つけたっけ？
1025	빛	이건 열쇠의 일부분 같은데? 여기에 왜 이런 게 있지?\n혹시 이걸 합쳐서 하나의 열쇠를 만들어야 하는 걸까?	Light	This looks like a part of a key? Why is something like this here?\nDo we perhaps need to combine these to make one key?	光	これは鍵の一部みたい。 なんでこんなとこりに鍵なんか...\nもしかしてこれを合わせて一つの鍵を完成するとか？
1026	빛	뭔가 스산하네…\n이곳이 <b>검은 포식자</b>의 거처인가봐.	Light	I can feel an eerie aura...\nThis place must be the <b>Black Predator's</b> lair.	光	何か薄気味悪いな···\nここが<b>黒い捕食者</b>の居場所みたい。
1027	빛	…어어? 땅이 무너지고 있어!	Light	...Oh! The ground is collapsing!	光	…ちょっと、地面が崩れてる！
1028	빛	괜찮아?\n뭐가 어떻게 된 거지… 여긴 또 어딜까?	Light	Are you okay?\nWhat happened... Where is this place?	光	大丈夫？\n何がどうなったんだろう… ここはどこだ？
1029	빛	이마에 무언가가 빛나고 있어!\n저거, 어디서 본 것 같은데…\n혹시 약점이 아닐까?\n흑곰이 고개를 숙였을 때를 노려보자!	Light	Something on its forehead is glowing!\nThat... I feel like I've seen it somewhere...\nCould it be a weak point?\nLet's aim for when the black bear lowers its head!	光	額に何かが光ってる！\nあれ、どこかで見たような気がするんだけど…\nもしかして弱点？\n黒熊が頭を下げた時を狙ってみよう！
1030	빛	세상에, 사라졌던 실체가 돌아왔어!\n검은 포식자가 억누르고 있던 잿더미가 씻겨 나간 걸까?\n네가 검은 포식자를 해치웠으니 말이야!\n하지만 아직 완벽하지는 않은 것 같아….\n분명 어딘가에 남아 있는 검은 포식자가 있다는 거겠지.\n자, 서두르자!	Light	My goodness, the entities that had disappeared have returned!\nDid the ashes that the Black Predator was suppressing get washed away?\nSince you defeated the Black Predator!\nBut it doesn't seem perfect yet...\nThere must be Black Predators still remaining somewhere.\nCome on, let's hurry!	光	消えた実体が戻ってきた！\n黒い捕食者が抑えていた灰が洗い流されたのだろうか？\n君が黒い捕食者をやっつけたんだから！\nしかし、まだ完璧ではないようだ…\nきっとどこかに残っている黒い捕食者がいるということだろう。\nさあ、急ごう！
1031	빛	밖에서도 생각했지만, 여긴 꼭 뭔가를 모시던 신전처럼 생겼네.\n대체 뭘 모셨던 걸까?	Light	This place really looks like a temple that used to enshrine something.\nWhat on earth did they enshrine here?	光	外でも思ったけど、ここはまるで何かを祀っていた神殿のようだね。\n一体何を仕えたのだろう？
1032	빛	바, 방금 무슨 소리 들리지 않았어?\n꼭 맹수 울음소리 같은··· ···.	Light	...Didn't you just hear some sound?\nIt sounded just like a wild beast's cry...	光	 今、何か音が聞こえなかった？\nまるで猛獣の鳴き声のような……
1033	빛	검은 몸체··· 저 녀석도 검은 포식자인가 봐!\n설마 이 신전에서 모셨던 게 검은 포식자는 아니겠지···?\n뭐가 됐든 조심해!<br>우리가 저 녀석 영역을 침범한 건 확실한 것 같아!	Light	Black body... That creature must be a Black Predator too!\nSurely what they enshrined in this temple wasn't a Black Predator...?\nWhatever the case, be careful!<br>It seems certain that we've invaded that creature's territory!	光	黒い体… あいつも黒い捕食者みたい！\nまさかこの神殿で祀ったのが黒い捕食者だったってことはないでしょうね…？\nとにかく気をつけて！<br>私たちがあいつの領域を侵犯したのは確かだから！
1034	빛	검은 포직자 녀석들, 목적이 저거였던 걸까?\n아니면 저놈 혼자만…	Light	Those Black Predator creatures, was that their purpose?\nOr was it just that one alone?	光	黒い捕食者の奴ら、目的があれだったのだろうか？\nそれともあいつだけ…
1035	빛	그래, 지금 중요한 건 이런 게 아니지. 가자!\n우리가 해야 할 일을 하는 거야.	Light	Right, what's important now isn't this kind of thing. Let	光	そう、今重要なのはこういうことじゃない。 行こう！\n私たちのやるべきことをやるんだ。
1036	빛	저길 봐! 그 검은 포식자 때와 같은 표식이야!\n약점이 노려질까 봐 몸 안쪽에 숨기고 있었나 봐.\n네가 몰아세운 덕에 더 이상 그럴 힘이 없어진 거겠지.\n하지만 그때처럼 호락호락하진 않을 것 같아.\n저렇게 빠르면 약점이 보여도 노리기가 쉽지 않으니까 말이야.\n어쩔 수 없지… 공격이 끝나는 순간을 최대한 노려 보자!	Light	Look over there! It's the same mark as that Black Predator!\nIt must have been hiding it inside its body, worried that its weak point would be targeted.\nThanks to you pressing it, it probably doesn't have the strength to do that anymore.\nBut it won't be as easy as last time.\nSince it's so fast, even if the weak point is visible, it won't be easy to aim for.\nThere's no choice... Let's try to aim for the moment right after its attack ends!	光	ほら！あの黒い捕食者の時と同じ標識だ！\n弱点が狙われるかと思って、体の内側に隠していたみたい。\n君が責め立てたおかげで、これ以上隠す余裕がなくなったのだろう。\nでもあの時のように甘くはいかないね。\nあんなに早ければ弱点が見えてもそう簡単には狙えない。\nしょうがないね… 攻撃が終わる瞬間を待ってみよう！
1037	빛	왜일까··· 점점 타는 냄새가 짙어지고 있어.\n공기도 뜨거워진 것 같지 않아?	Light	Why is it... the burning smell is getting stronger and stronger.\nDoesn't the air seem to be getting hotter too?	光	なぜだろう… だんだん燃える匂いが濃くなっている。\n空気も熱くなった気がしない？
1038	빛	애쉬···? 이게 너의 이름이야?\n근데 당신은 어떻게 알고 있는거지?	Light	Ash...? Is this your name?\nBut how do you know this?	光	アッシュ…？ これが君の名前なの？\nところで、あなたはどうやってそれを知っているんだ？
1039	빛	···그러고 보니 너만 여전히 실체가 돌아오지 않고 있잖아···	Light	...Come to think of it, you're the only one whose form still hasn't returned...	光	…そういえば、君だけ未だに実体が戻ってきてないじゃないか…
1040	빛	저건 랜턴이잖아?	Light	It's a lantern!	光	あれは、ランタン？
1041	빛	뭔가 통하고 있어!\n<i>'빛'이 강할수록 '그림자'는 짙어진다···.</i>\n'그림자 없는 불'은 그림자를 없애기 위해 모든 실체를 없애버렸어.\n빛을 밝혀서 실체를 찾아야만해.	Light	Something's getting through!\n<i>The stronger 'the light', the darker 'the shadow' becomes...</i>\n'The fire without shadow' erased all entities to eliminate shadows.\nWe need to light up to find the entities.	光	何か通じてる！\n<i>「光」が強ければ強いほど「影」は濃くなる…</i>\n「影のない火」は影を消すためにすべての実体を消してしまったんだ。\n光を照らして実体を探さなければならない。
1042	빛	좋아! 빛이 연결되어 더욱 밝아졌어.	Light	Good! The light is connected and has become even brighter.	光	よし！光がつながってさらに明るくなった。
1043	빛	거의 다 온 것 같아···!	Light	It looks like we're almost there...!	光	もう少し…！
1044	빛	저기에 마지막 랜턴이 있어!	Light	There's the last lantern over there!	光	あそこに最後のランタンが！
1045	빛	뭐···? <b>'불씨</b>라는 말이··· 그 뜻이었어?	Light	What...? The term <b>'ember'</b>... was that what it meant?	光	まさか…<b>「火種</b>」って… そういう意味だったの？
1046	빛	······이럴수가.\n하지만 애쉬, 나는 너와 한 몸이야.\n너의 모든 선택을 따를게.	Light	......This can't be.\nBut Ash, I am one with you.\nI'll follow all of your choices.	光	……バカな…\n…でも、アッシュ。私は君と一体だ。\nどんな選択でも私はそれに従うよ。
1047	빛	애쉬, 괜찮아?	Light	Ash, are you okay?	光	大丈夫、アッシュ？
1048	빛	아···안돼···!	Light	Oh... no...!	光	だ、だめだ…！
1049	빛	난 너의 선택을 존중해.\n하지만 여기서 그만둔다면 바뀌는 건 없을 거야.	Light	I respect your choice.\nBut if we stop here, nothing will change.	光	私は君の選択を尊重する。\nでも、ここで辞めたら変わることは何もないはずよ。
1050	빛	그래, 세상을 밝혀주는 것. 이게 나의 역할이었지.\n깨닫게 해줘서 고마워 애쉬.	Light	Right, lighting up the world. That was my role.\nThank you for making me realize that, Ash.	光	そう、世の中を明るくすること。 これが私の役割だった。\n気づかせてくれてありがとう、アッシュ。
1051	빛	랜턴을 놓쳐버렸어...	Light	We dropped the lantern...	光	ランタンを逃してしまった…
1052	빛	저기 무언가가 있어. …새끼곰 같은데?	Light	There's something over there. ...It looks like a bear cub?	光	あそこに何かが… …子熊みたいよ。
1053	빛	앗, 사라져버렸어. 어디로 간 거지?	Light	Oh, it disappeared. Where did it go?	光	あっ、消えちゃった。 どこに行ったんだろう？
1054	빛	아까 그 새끼곰 같은데 …길을 잃은 걸까.	Light	It looks like that bear cub from earlier... Did it get lost?	光	さっきの子熊みたいだけど… 迷子なのかな。
1055	빛	처음 보는 문자인데.... 무슨 뜻일까?	Light	It's a script I've never seen before... What could it mean?	光	初めて見る文字… どういう意味だろう。
2001	흑곰	…왔군.	Black bear	...You came.	黒熊	…来たか。
2002	흑곰	제 발로 여기까지 오다니… 어리석기 짝이 없구나.\n본인이 무슨 짓을 하고 있는지도 깨닫지 못하다니.\n이쯤에서 그 어리석은 짓을 멈추게 해주지.	Black bear	To come here on your own feet... how utterly foolish.\nTo not even realize what you're doing.\nI'll put a stop to that foolish act right here.	黒熊	自分でここまで来るとは… ばかばかしいことこの上ない。\n自分が何をしているのかさえも気がつかないなんて。\nこの辺でその愚かな仕業を止めてやる。
2003	흑곰	크윽… 벌레만도 못한 것이 감히…!\n<size=150%><b>잿더미로 만들어주마!</b></size>	Black bear	Grr... You pathetic creature, how dare you...!\n<size=150%><b>I'll turn you into ashes!</b></size>	黒熊	くぅ··· 高が虫の分際でよくもこの俺を…!\n<size=150%><b>灰にしてやる！</b></size>
2004	흑곰	…어리석은 놈. 이래봤자 너는 아무것도 얻을 수 없다.	Black bear	...Foolish one. Even doing this, you won't gain anything.	黒熊	…愚か者目。 こうしたところで、貴様は何も得られない。
2101	흑표범	나는… 영원히 떠받들어질 것이다.\n빼앗긴 놈들과는 달리 나는 태어나기를 이렇게 태어났으니까…\n그러니 내가 추앙받는 것은 당연하단 말이다…\n나는… 영원히……		I... will be revered forever.\nUnlike those who were robbed, I was born to be this way...\nSo it's only natural that I be adored...\nI... forever...	クロヒョウ	僕は… 永遠に仕えられるもの。\n奪われた奴らとは違い、僕は初めからこう生まれたもの…\nだからこそこの僕が仰がれるのは当然なのだ…\n僕は… 永遠に……
2201	???	···결국 여기까지 와버렸구나. [1]\n<color=red><b>애쉬</b></color>.	???	...So you've finally made it this far. [1]\n<color=red><b>Ash</b></color>.	???	…結局ここまで来てしまったか。 [1]\n<color=red><b>アッシュ</b></color>。
2202	???	20년 전 그날, 넌 내 몸에서 떨어져나간 [1]<b>불씨</b>다.\n모두가 실체를 찾아가고 있는데 네 모습은 왜 여전한지 아직도 모르겠어?	???	Twenty years ago on that day, you were the [1]<b>ember</b> that fell from my body.\nEveryone is regaining their forms, but why does your appearance remain the same? Do you still not understand?	???	20年前のあの日、お前は俺の体から離れた[1]<b>火種</b>だ。\n何もかもが実体を取り戻している今、お前の姿はどうして変わっていないのか、まだ分からないのか？
2203	불	어리석은 나의 <b>불씨</b>여.\n영원한 파멸의 길로 들어가고 싶다면 계속 하거라.\n기꺼이 너의 뜻을 받아들여주겠다.	Fire	My foolish <b>ember</b>.\nIf you wish to enter the path of eternal destruction, then continue.\nI will gladly accept your will.	火	愚かな俺の<b>火種</b>よ。\n永遠の破滅の道に入りたければ続ければよい。\n喜んでお前の意を受け入れてやる。
2204	불	크윽···.	Fire	Grr...	火	くうっ…
2205	불	더 이상 밝아져선 안돼···!	Fire	It can't get any brighter...!	火	これ以上明るくなってはいけない…！
2206	불	으윽···. 너무 밝아···.\n이제 더 밝아지면···.	Fire	No... It's too bright...\nIf it gets any brighter now...	火	ううっ… 明るすぎる…\nこれ以上は…
2207	불	기어이 여기까지 올라왔구나.\n아직도 모르겠느냐, <b>'나의 불씨'</b>여.\n내가 사라진다면 너도 함께 잿가루가 된다.	Fire	You've finally climbed all the way up here.\nDon't you understand yet, <b>'my ember'</b>?\nIf I disappear, you too will turn to ash.	火	とうとうここまで上がってきてしまったか。\nまだ分からないのか、<b>「私の火種」</b>よ。\n俺が消えれば、お前もまた灰となって消え去る。
2208	불	이 세상 모든 물질들이 실체를 찾게 된다면\n넌 영원히 사라지게 되겠지.\n여기까지 온 결과가 잿가루라니···.\n정말 어리석기 짝이 없구나.	Fire	If all the matter in this world finds its substance\nYou will disappear forever.\nTo think that the result of coming all this way is ultimately you turning to ash...\nHow utterly foolish.	火	この世の全ての物質が実体を取り戻してしまえば、\nお前は永遠に消えることになるだろう。\nここまで来た結果がただの灰だなんて…\n本当に愚か極まりない。
2209	불	크큭···, 죽음 앞에선 너도 별 수 없구나.	Fire	Haha... Even you are helpless in the face of death.	火	ククク… 死の前ではお前も結局仕方ないのか。
2210	불	······세상을 구한 영웅, 그런 걸 원한 것인가.\n···어리석군.	Fire	·····A hero who saved the world, is that what you wanted?\n···How foolish.	火	……世の中を救った英雄、そんなことを望んでいるのか。\n…なんて愚かな。
2211		지금이라도 늦지 않았다.\n그대의 목숨과 맞바꾸어 이 세상을 구할 것인가?		It's not too late even now.\nWill you save this world in exchange for your life?		今でも十分間に合う。\n君の命と引き換えにこの世を救うか？
2212		지금이라도 늦지 않았다.\n그대의 목숨과 맞바꾸어 이 세상을 구할 것인가?		It's not too late even now.\nWill you save this world in exchange for your life?		今でも十分間に合う。\n君の命と引き換えにこの世を救うか？
3001	너리	어이! 안녕. 보기 드문 모험가네?\n잠깐만… 그럼 너 혹시 시간 있어? 없다고? 없어도 만들어 봐.\n아차차, 내 소개가 늦었네.<br>나는 저기 먼 지방에서 물건을 팔러 온 너리라고 하거든.\n표정이 왜 그래? 기구한 내 사연 좀 들어 달라고, 친구.\n지나오는 길에 너한테 달려들던 놈들 있었지?\n걔네가 글쎄, 내가 가지고 온 물건들을 엉망으로 만들고<br>나도 흠씬 두들겨 패지 뭐야.\n덕분에 곤욕 좀 치렀다는 거 아니겠어.\n그래서 말인데, 걔네를 좀 혼내주면 내가 좋은 걸 줄게.\n모험을 떠날 때 없어서는 안 될 중요한 물건, <b>생명</b> 말이야.\n일단 5마리 정도만 가볍게 혼내줘. 얼마나 기가 죽는지 구경 좀 하자!	Neori	Hey, hello. Rare adventurer!\nWait a minute... So do you have time? You don't? Make some time anyway.\nOh, I'm late with my introduction.<br>I'm Neori, and I came from a distant province to sell goods.\nWhy are you staring at me like that? Listen to my pitiful story, friend.\nThere were those guys who rushed at you on the way here, right?\nWell, they completely ruined the goods I brought<br>and beat me up badly.\nSo I ended up going through quite an ordeal.\nSo here's the thing, if you defeat them for me, I'll give you something good.\nSomething important that's essential when going on adventures, <b>life</b>.\nJust defeat 5 of them for now. Let's see how well you do!	ノリ	おい！こんにちは。 珍しい冒険家だね？\nちょっと… じゃあ、あなた。今暇？ 暇じゃないって？時間作ってみ。\nおっとっと、私の紹介が遅くなった。<br>私はあそこの遠い地方から物を売りに来たノリというんだよ。\n何、その表情？ 数奇な私の話を聞いてくれって、友よ。\n通りすがりに、あなたに飛びかかってきたやつらがいたよね？\nあの子たちがそうだな、私が持ってきた物をめちゃくちゃにして<br>私も思いっきり殴ってしまったんだ。\nおかげさまでひどい目にあったということだ。\nそれで、あの子たちをちょっとだけ叱ってくれれば、私がいいものをあげるよ。\n冒険に出る時になくてはならない重要な物、<b>生命</b>さ。\nとりあえず5匹くらいだけ軽くやっちゃて。 どれだけ落ち込むか、ちょっと見物させてもらおうじゃないか！
3002	너리	아직 다 혼내주지 못한 거야?<br>이미 다 물건 챙겨 놓고 목 빠지게 기다리고 있다고.	Neori	You haven't defeated them all yet?<br>I've already packed up all my goods and I'm waiting with my neck stretched out.	ノリ	まだか？<br>すでに物を準備して首を長くして待っているとも。
3003	너리	정말 혼내주고 온 거야? 역시, 널 믿은 게 정답이었어!\n물론 나도 네게 줄 보수를 준비하고 기다리고 있었지.\n자, 네 모험에 도움이 될 거야. 그렇지?	Neori	You really defeated them all? As expected, trusting you was the right answer!\nOf course, I was also waiting with the reward I prepared for you.\nHere, this will help with your adventure. Right?	ノリ	やっと終わったか！やっぱり、君を信じて正解だった！\nもちろん私も君への報酬を準備して待っていたよ。\nさあ、君の冒険に役立つものだ。受け取って。
3004	너리	어서 와! 기다리고 있었어.\n자, 구하기 아주 어려운 거니까 조심해서 다루라고.	Neori	Welcome! I was waiting for you.\nHere, this is very difficult to obtain, so handle it carefully.	ノリ	いらっしゃい! 待っていたよ。\nさあ、なかなか手に入らないものなんだ、気をつけて扱えよ。
3005	너리	이젠 너와 나 사이에 아주 끈끈한 유대가 생긴 것 같아.\n네가 반드시 내 부탁을 완수하고 돌아와 줄 거라는 유대 말이야.\n자, 받아. 특상품이야!	Neori	Now it seems like a very strong bond has formed between you and me.\nA bond where you'll definitely complete my request and return.\nHere, take it. It's a premium item!	ノリ	あなたと私の間にもうとても固い絆ができたようだ。\n君が必ず私の願いを完遂して戻ってきてくれるという絆がね。\nさあ、受け取って。 特商品だ！
3006	너리	이런… 가진 게 거의 다 떨어져 가고 있어.\n다음이 마지막 한 번이겠네.\n그때도 잘 부탁해, 친구!	Neori	Oh no... I'm almost running out of what I have.\nThere's one last time left.\nPlease take care of it then too, friend!	ノリ	やれやれ… 手持ちががほとんどなくなってきている。\n次が最後の一回だね。\nその時もよろしく、友よ！
3007	너리	어서 와! 넌 정말 최고의 파트너야.\n마지막 하나, 네게 줄게.\n소중히 쓰도록 해. 그리고 기억해.\n너와 나는 유대로 이어진 친구라는 걸 말이야.\n앞으로 네가 뭘 하든 응원할게. 힘내!	Neori	Welcome! You're really the best partner.\nI'll give you the last one.\nUse it preciously. And remember.\nYou and I are friends connected by a bond.\nWhatever you do from now on, I'll support you. Keep it up!	ノリ	いらっしゃい！あなたは本当に最高のパートナーだ。\n最後の一つ、君にあげる。\n大切に使えよ。 そして覚えてね。\nあなたと私は絆で結ばれた友達だということを。\nこれから君が何をしても私は応援するよ。 頑張れよ！
3008	너리	여, 친구. 또 날 도와 주려고?\n역시 한 번으로는 성에 안 차긴 해!\n그럼 저번처럼 5마리, 가볍게 해치우고 올 수 있겠지?	Neori	Hey, friend. Are you going to help me again?\nAs expected, once isn't enough to satisfy you!\nThen like last time, you can lightly defeat 5 of them, right?	ノリ	やぁ、友よ。また私を助けてくれるのか？\nやっぱり一回では飽きないよね！じゃあ、この前と同じく5匹、軽くやっつけて来れるよな？
3009	너리	흠... 아. 안녕! 무슨 생각 하냐고?\n네가 또 도와 주면 아주 좋겠다는 생각을 하고 있었지.\n어때, 해 볼래? 똑같이 5마리야.	Neori	Hmm... Oh, hello! What am I thinking about?\nI was thinking it would be great if you helped me again.\nHow about it, want to try? It's the same, 5 of them.	ノリ	ふむ… あ、やぁ！ 何を考えているのかって？\n君がまた助けてくれたらとても良いな～なんて思っていたさ。\nどう、やってみる？ 同じく5匹だよ。
3010	너리	뭘 더 말할 필요도 없지. 나는 늘 5마리씩만 부탁하거든.\n도와 줄 거지?	Neori	There's no need to say more. I always ask for just 5 at a time.\nYou'll help me, right?	ノリ	何をこれ以上言う必要があるものか。 私はいつも5匹ずつだけ頼むよ。\n手伝ってくれるんだろう？
